Date,Median_Household_Income
1/1/1975,66480
4/1/1975,66480
7/1/1975,66480
10/1/1975,66480
1/1/1976,68580
4/1/1976,68580
7/1/1976,68580
10/1/1976,68580
1/1/1977,68940
4/1/1977,68940
7/1/1977,68940
10/1/1977,68940
1/1/1978,71100
4/1/1978,71100
7/1/1978,71100
10/1/1978,71100
1/1/1979,72120
4/1/1979,72120
7/1/1979,72120
10/1/1979,72120
1/1/1980,69710
4/1/1980,69710
7/1/1980,69710
10/1/1980,69710
1/1/1981,67760
4/1/1981,67760
7/1/1981,67760
10/1/1981,67760
1/1/1982,66880
4/1/1982,66880
7/1/1982,66880
10/1/1982,66880
1/1/1983,67330
4/1/1983,67330
7/1/1983,67330
10/1/1983,67330
1/1/1984,69490
4/1/1984,69490
7/1/1984,69490
10/1/1984,69490
1/1/1985,70520
4/1/1985,70520
7/1/1985,70520
10/1/1985,70520
1/1/1986,73690
4/1/1986,73690
7/1/1986,73690
10/1/1986,73690
1/1/1987,74940
4/1/1987,74940
7/1/1987,74940
10/1/1987,74940
1/1/1988,75110
4/1/1988,75110
7/1/1988,75110
10/1/1988,75110
1/1/1989,76470
4/1/1989,76470
7/1/1989,76470
10/1/1989,76470
1/1/1990,75360
4/1/1990,75360
7/1/1990,75360
10/1/1990,75360
1/1/1991,73920
4/1/1991,73920
7/1/1991,73920
10/1/1991,73920
1/1/1992,73360
4/1/1992,73360
7/1/1992,73360
10/1/1992,73360
1/1/1993,72340
4/1/1993,72340
7/1/1993,72340
10/1/1993,72340
1/1/1994,74290
4/1/1994,74290
7/1/1994,74290
10/1/1994,74290
1/1/1995,75990
4/1/1995,75990
7/1/1995,75990
10/1/1995,75990
1/1/1996,77120
4/1/1996,77120
7/1/1996,77120
10/1/1996,77120
1/1/1997,79550
4/1/1997,79550
7/1/1997,79550
10/1/1997,79550
1/1/1998,82300
4/1/1998,82300
7/1/1998,82300
10/1/1998,82300
1/1/1999,84240
4/1/1999,84240
7/1/1999,84240
10/1/1999,84240
1/1/2000,84600
4/1/2000,84600
7/1/2000,84600
10/1/2000,84600
1/1/2001,83840
4/1/2001,83840
7/1/2001,83840
10/1/2001,83840
1/1/2002,83250
4/1/2002,83250
7/1/2002,83250
10/1/2002,83250
1/1/2003,83120
4/1/2003,83120
7/1/2003,83120
10/1/2003,83120
1/1/2004,83220
4/1/2004,83220
7/1/2004,83220
10/1/2004,83220
1/1/2005,84070
4/1/2005,84070
7/1/2005,84070
10/1/2005,84070
1/1/2006,84910
4/1/2006,84910
7/1/2006,84910
10/1/2006,84910
1/1/2007,86970
4/1/2007,86970
7/1/2007,86970
10/1/2007,86970
1/1/2008,84120
4/1/2008,84120
7/1/2008,84120
10/1/2008,84120
1/1/2009,82490
4/1/2009,82490
7/1/2009,82490
10/1/2009,82490
1/1/2010,81580
4/1/2010,81580
7/1/2010,81580
10/1/2010,81580
1/1/2011,80090
4/1/2011,80090
7/1/2011,80090
10/1/2011,80090
1/1/2012,80210
4/1/2012,80210
7/1/2012,80210
10/1/2012,80210
1/1/2013,83360
4/1/2013,83360
7/1/2013,83360
10/1/2013,83360
1/1/2014,83650
4/1/2014,83650
7/1/2014,83650
10/1/2014,83650
1/1/2015,88820
4/1/2015,88820
7/1/2015,88820
10/1/2015,88820
1/1/2016,90540
4/1/2016,90540
7/1/2016,90540
10/1/2016,90540
1/1/2017,93170
4/1/2017,93170
7/1/2017,93170
10/1/2017,93170
1/1/2018,94340
4/1/2018,94340
7/1/2018,94340
10/1/2018,94340
1/1/2019,101700
4/1/2019,101700
7/1/2019,101700
10/1/2019,101700
1/1/2020,98680
4/1/2020,98680
7/1/2020,98680
10/1/2020,98680
1/1/2021,99200
4/1/2021,99200
7/1/2021,99200
10/1/2021,99200
1/1/2022,96430
4/1/2022,96430
7/1/2022,96430
10/1/2022,96430
1/1/2023,100800
4/1/2023,100800
7/1/2023,100800
10/1/2023,100800
