Date,Total_Public_Debt
1/1/1975,509659
4/1/1975,533188
7/1/1975,553647
10/1/1975,576649
1/1/1976,600490
4/1/1976,620432
7/1/1976,634701
10/1/1976,653543
1/1/1977,669207
4/1/1977,674425
7/1/1977,698840
10/1/1977,718943
1/1/1978,737951
4/1/1978,749024
7/1/1978,771544
10/1/1978,789207
1/1/1979,796792
4/1/1979,804913
7/1/1979,826519
10/1/1979,845116
1/1/1980,863451
4/1/1980,877614
7/1/1980,907701
10/1/1980,930210
1/1/1981,964531
4/1/1981,971174
7/1/1981,997855
10/1/1981,1028729
1/1/1982,1061299
4/1/1982,1079630
7/1/1982,1142035
10/1/1982,1197074
1/1/1983,1244493
4/1/1983,1319581
7/1/1983,1377211
10/1/1983,1410702
1/1/1984,1463741
4/1/1984,1512697
7/1/1984,1572267
10/1/1984,1662966
1/1/1985,1710731
4/1/1985,1774640
7/1/1985,1823103
10/1/1985,1945942
1/1/1986,1986816
4/1/1986,2059349
7/1/1986,2125304
10/1/1986,2214835
1/1/1987,2246724
4/1/1987,2309296
7/1/1987,2350277
10/1/1987,2431715
1/1/1988,2487551
4/1/1988,2547656
7/1/1988,2602183
10/1/1988,2684392
1/1/1989,2740898
4/1/1989,2799923
7/1/1989,2857431
10/1/1989,2952994
1/1/1990,3051958
4/1/1990,3143754
7/1/1990,3233313
10/1/1990,3364820
1/1/1991,3465189
4/1/1991,3537988
7/1/1991,3665303
10/1/1991,3801698
1/1/1992,3881288
4/1/1992,3984656
7/1/1992,4064621
10/1/1992,4177009
1/1/1993,4230580
4/1/1993,4351950
7/1/1993,4411489
10/1/1993,4535687
1/1/1994,4575869
4/1/1994,4645802
7/1/1994,4692750
10/1/1994,4800150
1/1/1995,4864116
4/1/1995,4951372
7/1/1995,4973983
10/1/1995,4988665
1/1/1996,5117786
4/1/1996,5161076
7/1/1996,5224811
10/1/1996,5323172
1/1/1997,5380890
4/1/1997,5376151
7/1/1997,5413146
10/1/1997,5502388
1/1/1998,5542426
4/1/1998,5547935
7/1/1998,5526193
10/1/1998,5614217
1/1/1999,5651615
4/1/1999,5638780
7/1/1999,5656271
10/1/1999,5776091
1/1/2000,5773392
4/1/2000,5685938
7/1/2000,5674179
10/1/2000,5662216
1/1/2001,5773740
4/1/2001,5726815
7/1/2001,5807464
10/1/2001,5943439
1/1/2002,6006032
4/1/2002,6126469
7/1/2002,6228236
10/1/2002,6405707
1/1/2003,6460776
4/1/2003,6670121
7/1/2003,6783320
10/1/2003,6997964
1/1/2004,7131068
4/1/2004,7274335
7/1/2004,7379053
10/1/2004,7596143
1/1/2005,7776939
4/1/2005,7836496
7/1/2005,7932710
10/1/2005,8170413
1/1/2006,8371156
4/1/2006,8420042
7/1/2006,8506974
10/1/2006,8680224
1/1/2007,8849665
4/1/2007,8867677
7/1/2007,9007653
10/1/2007,9229172
1/1/2008,9437594
4/1/2008,9492006
7/1/2008,10024725
10/1/2008,10699805
1/1/2009,11126941
4/1/2009,11545275
7/1/2009,11909828
10/1/2009,12311349
1/1/2010,12773123
4/1/2010,13201792
7/1/2010,13561622
10/1/2010,14025215
1/1/2011,14270114
4/1/2011,14343087
7/1/2011,14790340
10/1/2011,15222940
1/1/2012,15606518
4/1/2012,15855037
7/1/2012,16066240
10/1/2012,16432730
1/1/2013,16771381
4/1/2013,16738320
7/1/2013,16738180
10/1/2013,17156119
1/1/2014,17601227
4/1/2014,17632606
7/1/2014,17824071
10/1/2014,18141444
1/1/2015,18152056
4/1/2015,18151998
7/1/2015,18150618
10/1/2015,18922179
1/1/2016,19264939
4/1/2016,19381591
7/1/2016,19573445
10/1/2016,19976827
1/1/2017,19846420
4/1/2017,19844554
7/1/2017,20244900
10/1/2017,20492747
1/1/2018,21089643
4/1/2018,21195070
7/1/2018,21516058
10/1/2018,21974096
1/1/2019,22027880
4/1/2019,22023283
7/1/2019,22719402
10/1/2019,23201380
1/1/2020,23223813
4/1/2020,26477241
7/1/2020,26945391
10/1/2020,27747798
1/1/2021,28132570
4/1/2021,28529436
7/1/2021,28428919
10/1/2021,29617215
1/1/2022,30400960
4/1/2022,30568582
7/1/2022,30928912
10/1/2022,31419689
1/1/2023,31458438
4/1/2023,32332274
7/1/2023,33167334
10/1/2023,34001494
1/1/2024,34586533
4/1/2024,34831634
7/1/2024,35464674
10/1/2024,36218605
